id_gi,Cita,Publicaciones
1-1,Cita 11,"Sekler, M.A., Jiménez, J.E., Rojo, L.E., Pastene, E.,  Fuentes, P.,  Slachevsky, A. y Maccioni, R.B. (2008). Cognitive Impairment Associated with Alzheimer’s Disease: Links with Cholesterol Metabolism and Oxidative Stress. Neuropsychiatr Dis Treat (4)-4-3268."
1-1,Cita 12,"Rojo, L.E., Benites, J., López, J., Rojas, M., Díaz-Toro, P., Pastene, P. y Ordoñez, J. (2009). A comparative study on the potent antioxidant capacity and phenolic content of twelve highly consumed medicinal plants from the SouthAmerican Andes. BLACPMA (in Press).  "
1-1,Cita 13,"Rojo, L.E., Graf, B., Roopchand, D.E., Cheng, D., Ribnicky, D. y Raskin, I. (2012). Role of Anthocyanins in Skin Aging and UV-induced Skin Damage. En Wallace, T. y Giusti, M. (eds.) Anthocyanins in Health and Disease Prevention. CRC Press, (submitted)."
1-1,Cita 14,"Roopchand, D.E., Ribnicky, D., Rojo, L.E. y Raskin, I. (2012). Role of Anthocyanins in Metabolic Syndrome and Type II Diabetes. En Wallace, T. y Giusti, M. (eds.) Anthocyanins in Health and Disease Prevention. CRC Press, (Submitted)"
1-1,Cita 15,"Maccioni RB,  Farías G, Rojo LE  and Jiménez JM  (2012) “In the search of therapeutic solutions for Alzheimer’s disease” In: ""Brain Disorders"", ISBN 978-953-307-612-6 (In press)"
1-1,Cita 16,"Benites, J., Rojo, L.E., Lopez, J., Pastene, E. y Alarcon,  .J (2008). Chilean Medicinal Plants: from the ethnomedicinal use to the pharmacological evidence. En Vinardell, M.P. y Mitjans, M. (eds.). Pharmacological Applications of South American Plants. Research Signpost, Fort P.O.: Trivandrum, India."
1-1,Cita 17,"Benites, J., López, J., Farías, J. y Cortés, M. (2006). The preparation of oxigenated derivatives of ambrox and isoambrox from drimenol. Journal of the Chilean Chemical Society.  51 (3) 936-938."
1-1,Cita 18,"Benites, J., Valderrama, J., Taper, H. y Buc, P. (2009). Part 2: Influence of 2-euryfuryl-1,4-naphthoquinone and its peri-hydroxy derivatives on both cell death and metabolism of TLT cells, a murine hepatoma cell line. Modulation of cytotoxicity by vitamin C. Chemical & Pharmaceutical Bulletin, 57(6) 615—619."
1-1,Cita 19,"Rojo, L., Benites, J., López, J., Rojas, M., Diaz, P., Pastene, E. y Ordoñez, J. (2009). Comparative study on the antioxidant effects and phenolic content of twelve highly consumed medicinal plants from SouthAmerican Andes”. Boletín Latinoamericano y del Caribe de Plantas Medicinales  y Aromáticas 8 (6), 498 – 508."
1-1,Cita 20,"Dejeans, N., Tajeddine, N., Beck, R., Verrax, J., Taper, H., Gailly, P. y Buc Calderon, P. (2010). Endoplasmic reticulum calcium release potentiates the ER stress and cell death caused by an oxidative stress in MCF-7 cells. Biochemical Pharmacology, 79,  9, 1221-1230."
1-1,Cita 21,"Sandoval, J., Levêque, P., Gallez, B., Vásquez, C. y Buc Calderon, P. (2010). Tellurite-induced oxidative stress leads to cell death of murine hepatocarcinoma cells. Biometals, 23, 623–632."
1-1,Cita 22,"Bravo, F., Lobos, C., Venegas, K y Benites, J. (2010). Development and validation of an GC-NPD/micro-ECD method using dual column for the determination of benzodiazepine in human whole blood and plasma. Journal Chilean Chemical Society, 55, 454 – 457."
1-1,Cita 23,"Troncoso, M.,  Gajardo, S.,  Benites, J., López, J. y Rojas, M. (2010). Mangifera indica y Psidium guayava: determinación de la actividad antimicrobiana de las cáscaras liofilizadas en la formulación de una loción hidroalcohólica para el acné. BIOFARBO, 18 (2), 1-9."
1-1,Cita 24,"Benites, J., López, J., Kusch, F., Gajardo, S., Jorquera, G., Salazar, G. y Rojas, M. (2010) “Actividad antioxidante, antibacteriana y analgésica de extractos de Mangifera indica L”  BIOFARBO, 18 (2), 10-19."
1-1,Cita 25,"Zarria, K., Gajardo, S.,  Benites, J., López, J. y Rojas, M. (2010). Formulación y evaluación de la estabilidad de una serie de vehículos, para el desarrollo de un biopesticida a base de aceite esencial de Acantholippia desertícola. BIOFARBO, 18 (2), 20-30."
1-1,Cita 26,"Benites, J., Lopez, J., Rojo, L., Diaz, P., Rojas, M.,Venâncio, F. y Moiteiro, C. (2011). Chemical Composition of the Essential Oil of the Leaves and Steams of Xenophillum poposum. Chemistry of Natural Compounds, 46(6), 988-989."
1-1,Cita 27,"Verrax, J., Beck, R., Dejeans, N., Glorieux, C., Sid,, B., Pedrosa, R., Benites, J., Vásquez, D., Valderrama, J. y Buc Calderon, P. (2011). Redox-active quinones and ascorbate: an innovative cancer therapy that exploits the vulnerability of cancer cells to oxidative stress. Anticancer Agents in Medicinal Chemistry, 11(2), 213-221."
1-1,Cita 28,"Valderrama, J., Ibacache, A., Rodriguez, J., Theoduloz, C. y Benites, J. (2011). Studies on Quinones. Part 47. Synthesis of novel phenylaminophenanthridinequinones as potential antitumor agents. European Journal of Medicinal Chemistry, 46, 3398-3409."
1-1,Cita 29,"Benites, J., Díaz, R., López, J., Gajardo, S., Kusch, F. y Rojas, M. (2011). Actividad antioxidante  y antibacteriana de seis frutos del oasis de Pica. BIOFARBO, 19(1), 1–7."
1-1,Cita 30,"Gajardo, S., Benites, J., López, J., Burgos, N., Caro, C. y Rojas, M. (2011). Astaxantina: antioxidante de origen natural con variadas aplicaciones en cosmética. BIOFARBO, 19(2), 6-12."
1-1,Cita 31,"Benites, J., Bravo, F., Rojas, M., Fuentes, R., Moiteiro, C. y Venâncio, F.(2011). Composition and antimicrobial screening of the essential oil of the leaves and stems of Senecio atacamensis Phil. from Chile. Journal of the Chilean Chemical Society, 56 (2), 712-714."
1-1,Cita 32,"Kviecinski, M., Curi Pedrosa, R.,  Bettega, K., Farias, M., Glorieux, C., Valenzuela, M., Sid, S., Benites, J., Valderrama, J., Verrax, J. y Buc Calderon, P. (2012). Inhibition of cell proliferation and migration by oxidative stress from ascorbate-driven juglone redox cycling in human bladder-derived T24 cells. Biochemical and Biophysical Research Communications, 421  268–273."
1-1,Cita 33,"Benites, J., Gutierrez, E., López, J., Rojas,M., Rojo, L.,  do Céu Costa, M., Vinardell, M.P. y Buc Calderon, P. (2012). Evaluation of Analgesic Activities of Tremetone Derivatives Isolated from the Chilean Altiplan Medicine Parastrephia lepidophylla. Natural Product Communications 7 (5), 611 – 614."
2-1,Cita 1,"Guevara, M., Garrido, G., Rodríguez, P., Riaño, A. y Álvarez, A. (2007). Efectos de la crema antioxidante Vimang en enfermedades dermatológicas. Latin American Journal of Pharmacy, 26 (2): 237-242."
2-1,Cita 2,"Núñez-Sellés, A.J., Delgado-Hernández, R., Garrido, G., García-Rivera, D., Guevara-García, M., Pardo-Andreu, G.L. (2007). The paradox of natural products as pharmaceuticals. Pre-clinical and clinical evidences of a mango stem bark extract. Pharmacological Research, 55:351–358."
2-1,Cita 3,"Rodeiro, I., Donato, M.T., Jiménez, N., Garrido, G., Delgado, R. y Gómez-Lechón, M.J. (2007). Effects of Mangifera indica L. aqueous extract (Vimang) on primary culture of rat hepatocytes. Food and Chemical Toxicology 45(12):2506-2512."
2-1,Cita 4,"González, J. E., Rodríguez, M. D., Rodeiro, I., Morffi, J., Guerra, E., Leal, F., García, H., Goicochea, E., Guerrero, S., Garrido, G., Delgado, R. y Nuñez-Selles, A.J. (2007).  Lack of in vivo embryotoxic and genotoxic activities of orally administered stem bark aqueous extract of Mangifera indica L. (Vimang). Food and Chemical Toxicology 45, (12):2526-2532."
2-1,Cita 5,"Garrido, B., Bosch, F., Váldes, Garrido, G., Delgado, R., Porro, J. Novo, Manero, J.M. (2007). Utilidad del extracto de Mangifera indica L (VIMANG®) en el Síndrome Doloroso Regional Complejo: A propósito de un caso. Revista Sociedad Española Dolor, 14(7):494-500."
2-1,Cita 6,"Garrido, G. (2007). Mangifera indica. Revista de la Asociación de Química y Farmacia del Uruguay, XVII (51):47-51."
2-1,Cita 7,"Garrido, G., González, D., Romay, C., Núñez-Selles, A. y Delgado, R. (2008). Scavenger effect of a mango (Mangifera indica L.) food supplement’s active ingredient on free radicals produced by human polymorphonuclear cells and hypoxanthine–xanthine oxidase chemiluminescence systems. Food Chemistry 107(3): 1008-1014. "
2-1,Cita 8,"Rodeiro, I., Donato, M.T., Lahoz, A., Garrido, G., Delgado, R. y Gómez-Lechón, M.J. Interactions of polyphenols with P450 system: possible implications on human therapeutics. Minireview in Medicinal Chemistry 8(2):97-106."
2-1,Cita 9,"Rodeiro I.,. Donato, M.T., Martínez, I., Hernández, I., Garrido, G., González-Lavaut,  J.A,. Menéndez, R., Laguna, A., Castell, J.V. y Gómez-Lechón, M.J. Potential hepatoprotective effects of new Cuban natural products in rat hepatocytes culture. Toxicology In Vitro 22:1242-1249."
2-1,Cita 10,"González, K., Vélez, H., Nuevas, L., Márquez, L., Garrido, G. y González, J.A. (2008). Aislamiento y efecto antiinflamatorio de un alcaloide de Zanthoxylum elephantiasis Macf (Rutaceae) introducida en Cuba. BLACPMA 7(5):264-267."
2-1,Cita 11,"Rodeiro, I., Magariño, Y., López-Ocejo, O., Garrido, G. y Delgado, R. (2008). Use of natural products in anti-cancer alternative therapy: risk of interactions with conventional anti-cancer drugs. BLACPMA 7(6), 332-344."
2-1,Cita 12,"Valdés, M. y Garrido, G. (2008). Trends in researching and reporting on herbal-drug interactions. BLACPMA 7(6): 345-358."
2-1,Cita 13,"Rodeiro, I., Donato, M.T., Jimenez, N., Garrido, G., Molina-Torres, J., Menendez, R. and Gómez-Lechón, M.J. (2009). Inhibition of human P450 enzymes by natural extracts used in traditional medicine. Phytotherapy Research 23:279-282. "
2-1,Cita 14,"Álvarez, A., Sánchez, C., García, D., Rodríguez, J., Lemus, Y., Jane, A., Rodríguez, J., Izquierdo, M., Morales, C., Garrido, G. (2009). Treatment of bronchial asthma with an aqueous extract of Mangifera indica L. (VIMANG®): two cases report. BLACPMA 8(2):63-66."
2-1,Cita 15,"Garrido, G., Rodeiro, I., Guerra, E., Hernández, I., González, R., García, G., Pérez, G. and Delgado, R. (2009). In vitro and in vivo acute studies of Mangifera indica L. extract (Vimang®), a new antioxidant natural product. Drug and Chemical Toxicology 32 (01):53-58."
2-1,Cita 16,"Valverde, S., Duarte, E.M., Ducangé, D., Garrido, G., García-Rivera, D., Jáuregui. U., Garrido, B. (2009) Utilidad de las formulaciones Vimang® en pacientes con osteoartrosis de rodilla. Revista de la Sociedad Española de Dolor 16:32-41."
2-1,Cita 17,"Garrido-Suárez, B., Rabí, M.C., Bosch, F., Garrido-Garrido, G., Delgado-Hernández. R. (2009). Introducción de la suplementación con Vimang® en el síndrome doloroso regional complejo: experiencia en 15 pacientes. Revista de la Sociedad Española de Dolor 16(2):87-96."
2-1,Cita 18,"Hernández, I., Lemus, Y., Prieto, S., Molina-Torres, J., Garrido, G. (2009). In vitro anti-inflammatory effect of Heliopsis longipes roots ethanolic extract. BLACPMA 8(3):160-164."
2-1,Cita 19,"Garrido, B., Garrido, G., Márquez, L., Martínez, I.,  Hernández, I., Merino, N., Luque, Y., Delgado, R. and Bosch, R. (2009). Pre-emptive anti-hyperalgesic effect of electroacupuncture in carrageenan-induced inflammation. Role of nitric oxide. Brain Research Bulletin 79:339-344. "
2-1,Cita 20,"Hernández, I., Márquez, L., Martínez, I., Dieguez, R., Delporte, C., Prieto, S., Molina-Torres, J. and Garrido, G. (2009). Anti-inflammatory effects of ethanolic extract and alkamides-derived from Heliopsis longipes roots. Journal of Ethnopharmacology 124:649-652. "
2-1,Cita 21,"Chieli, E., Romiti, N., Rodeiro-Guerra, I., Garrido-Garrido, G. (2009). In vitro effects of Mangifera indica and polyphenols derived on ABCB1/P-glycoprotein activity. Food and Chemical Toxicology 47:2703-2710. "
2-1,Cita 22,"Chieli, E., Romiti, N., Rodeiro-Guerra, I., Garrido-Garrido, G. (2010).  In vitro modulation of ABCB1/P-glycoprotein expression by polyphenols from Mangifera indica. Chemico-Biological Interactions 186:287-294."
2-1,Cita 23,"Márquez, L., Pérez-Nievas, B., Gárate, I., García-Bueno, B., Madrigal, J., Menchén, L., Garrido, G., and Leza, J.C. (2010). Antiinflammatory effects of Mangifera indica L. extract in a model of colitis. World Journal of Gastroenterology 16(39): 4922-4931."
2-1,Cita 24,"Garrido-Suárez, B., Garrido, G., Delgado, R., Bosch, F. and Rabí, M. (2010). A Mangifera indica L. extract could be used to treat neuropathic pain and implication of mangiferin. Molecules 15(12):9035-9045.  "
2-1,Cita 25,"Garrido-Suárez, B., Garrido, G., Delgado, R., Bosch, F., Rabí, M. and Hernández, C. (2011). Report of cases in patients with acute herpetic neuralgia using a Mangifera indica extract.  Brazilian Journal of Pharmacognosy 21(6):1111-1117."
2-1,Cita 26,"Garrido-Suárez, B., Garrido, G., Delgado, R., Bosch, F. and Rabí, M (2011). Case series in patients with zoster-associated pain using Mangifera indica L. extract.  Forschende Komplementaremedizin / Research in Complementary Medicine 18:345-350. "
2-1,Cita 27,"Garrido, G., Romiti, N., Tramonti, G., de la Fuente, F. and Chieli, E.(2012) Polyphenols of Mangifera indica modulate arsenite-induced cytotoxicity in a human proximal tubule cell line. Brazilian Journal of Pharmacognosy 22(2):325-334."
2-1,Cita 28,"Garrido, G., Valdes, M. (2012). Avances en las investigaciones farmacológicas y toxicológicas con el extracto acuoso de la corteza del árbol de mango (Mangifera indica L.). Revista de Farmacología de Chile 5 (2): 63-93."
2-1,Cita 29,"Chieli, E., Romiti, N., Zampini, I., Garrido, G.and Isla, M.I. (2012). Effects of Zuccagnia punctata extracts and their flavonoids on the function and expression of ABCB1/P-glycoprotein multidrug transporter. Journal of Ethnopharmacology 144(3): 797-801. "
2-1,Cita 30,"Goity, L., Queupil, M. J., Jara, D., Alegría, S., Peña, M., Barriga, A., Aguirre, M. C., Delporte, C. (2012). BLACPMA. An HPLC-UV and HPLC-ESI-MS based method for identification of anti-inflammatory triterpenoids from the extracts of Ugnimolinae (in press)."
2-1,Cita 31,"Backhouse, N., Delporte, C., Apablaza, C., Farías, M., Goity, L., Arrau, S., Negrete, R., Castro, C. and Miranda, H. (2008). Antinociceptive activity of Buddlejaglobosa, matico in several models of pain. Journal of Ethnopharmacology, 119 (1) 160-165."
2-1,Cita 32,"Backhouse, N., Rosales, L., Apablaza, C., Goity, L., Erazo, S., Negrete, R., Theodoluz, C., Rodriguez, J. and Delporte, C. (2008). Analgesic, anti-inflammatory and antioxidant properties of Buddlejaglobosa, Buddlejaceae. Journal of Ethnopharmacology, 116 (2) 263-269."
2-1,Cita 33,"Moran, A., Hengst, M.B., De la Iglesia, R., Andrade, S., González, B. and Correa, J.A. (2008). Changes in bacterial community composition and structure associated to coastal copper enrichment in northern Chile. Environmental Chemistry and Toxicology 27(11): 2239-2245."
2-1,Cita 34,"Hengst, M.B., Andrade, S., Gonzalez, B., Correa, J.A. (2010). Characterization and dynamics of epiphytic bacterial communities associated with macroalgae in copper polluted environments. Microbial Ecology 60(2): 282-290."
2-1,Cita 35,"Díaz-Palma, P., Alfaro, G., Hengst, M., Pozo; P., Stegen, S., Queirolo, F., Rojo, G., Silva, P., Arias, D. and Gallardo, K. (2012). Arsenite (As III) Removal Kinetics of halobacteria from Salar de Punta Negra (NE-Chile). Revista Chilena de Química. (Enviado)."
2-1,Cita 36,"García-Bartolomei, E., Hengst, M.B., Cáceres, M., Leiva, J.C., Leyton, Y., Varas-Psijas, R. and Riquelme, C. (2008) Environmental Virulent Isolates of Vibrio parahaemolyticus Occurring During Summer Outbreaks 2008 in Antofagasta, Chile. (Enviado EID)."
2-1,Cita 37,"Scott, S., Dorador, C., Oyanedel, J.P., Tobar, I., Hengst, M., Maya, G. and Vila, I. (2012). High andean systems: Lirima and Caya wetlands. Gayana. (Enviado). "
2-1,Cita 38,"Dezerega, A., Pozo, P., Hernández, M., Oyarzún, A., Rivera, O., Dutzan, N., Gutiérrez-Fernández, A., Overall, C.M., Garrido, M., Alcota, M., Ortiz, E. and Gamonal, J. (2010). Chemokine monocyte chemoattractant protein-3 in progressive periodontal lesions in patients with chronic periodontitis. J Periodontol.. 81:267-76. (3) ( Impact 2,479)."
2-1,Cita 39,"Hernandez, M., Sorsa, T., Obregon, F., Tervahartiala, T., Valenzuela, M.A., Pozo, P., Dutzan, N., Lesaffre, E., Molas, M. y Gamonal, J. (2009). Proteolytic roles of matrix metalloproteinase (MMP)-13 during progression of chronic periodontitis: initial evidence for MMP-13/MMP-9 activation cascade. Journal of Clinical Periodontology; 36: 1011–1017. (3)  (Impact 3,933)."
2-1,Cita 40,"Dutzan, N., Vernal, R., Hernandez, M., Dezerega, A., Rivera, O., Silva, N., Aguillon, J.C., Puente, J., Pozo, P., Gamonal, J. (2009) Levels of interferon-gamma and transcription factor T-bet in progressive periodontal lesions in patients with chronic periodontitis. J Periodontol. 80:290-6. (17) (impact 2,479)."
2-1,Cita 41,"Silva, N., Dutzan, N., Hernandez, M., Dezerega, A., Rivera, O., Aguillon, J.C., Aravena, O., Lastres, P., Pozo, P., Vernal, R. and Gamonal, J. (2008). Characterization of progressive periodontal lesions in chronic periodontitis patients: levels of chemokines, cytokines, matrix metalloproteinase-13, periodontal pathogens and inflammatory cells...  Journal of Clinical Periodontology 35, 206–214. (25) (Impact 3,933)."
2-1,Cita 42,"Dutzan, N., Hernández, M., Pozo, P., Rivera, O., Oyarzún, A. and Dezerega, A. (2009). Efecto del Tratamiento Periodontal no Quirúrgico en los Niveles de MMP-2 y TIMP-2 en Periodontitis Crónica. Rev. Clin. Periodoncia Implantol. Rehábil. Oral  2: 68-72."
2-1,Cita 43,"Abusleme, L., Pozo, P. and Silva, N. (200)9. Genotipificación de Porphyromonas gingivalis en Pacientes con Periodontitis. Rev. Clin. Periodoncia Implantol. Rehábil. Oral  2: 54-58."
3-1,Cita 1,"Morales, G., Sierra, P., Paredes, A., Loyola, L.A. y Bórquez, J. (2006). Contituents of Helenium atacamensis Cabr. Journal of the Chilean Chemical Society, 51: 1, 769-772."
3-1,Cita 2,"Morales, G., Sierra, P., Paredes, A. y Loyola, L.A. (2008). Antimicrobial activity of three Baccharis species used in the traditional medicine of northern Chile. Molecules, 13: 4, 790-794."
3-1,Cita 3,"Morales, G., Sierra, P., Paredes, A. y Loyola, L.A. (2008). Antioxidant activity of 50% aqueous-etahnol extract from Acantholippia deserticota. Biological Research, 41:2,151-155."
3-1,Cita 4,"Morales, G., Sierra, P., Paredes, A. y Loyola, L.A. (2009). Cytotoxicity, Scavenging and Lipid Peroxidation - Inhibiting Activities of 5, 3´,4´-trihydroxy-7-methoxyflavanone Isolated from Haplopappus rigidus. Journal of the Chilean Chemical Society, 54: 2, 105-107."
3-1,Cita 5,"Palacios, J., Vega, J.L., Paredes, L., y Cifuentes, F. (2012). Potassium uptake is implicated in regulation of vasomotion in the response of rat aorta to phenylephrine. The Journal of Physiological Sciences. [Disponible en línea] (http://link.springer.com/article/10.1007/s12576-012-0240-9)."
4-1,Cita 1,"Salvatierra, A., Masson, L., Encina, C. y Osorio, A. (2010).Copao (Eulychnia acida Phil.) cactácea endémica de Chile: Información nutricional de los frutos y recomendaciones generales. 32 Boletín 212. Instituto Investigaciones Agropecuarias. Centro regional de Investigaciones Intihuasi. La Serena, Chile."
4-1,Cita 2,"Salvatierra, A. (2010).El copao: prometedor fruto para explotar en el norte de Chile. Revista Indualimentos 12(61) 78-80."
4-1,Cita 3,"Masson, L., Salvatierra, A., Robert, P., Encina, C., and Conrado, C.  (2011). Chemical and Nutritional Composition of Copao Fruit (Eulychniaacida Phil.) under three Environmental Conditions in the Coquimbo Region. Chilean J. Agric. Res., vol.71 no.4."
4-1,Cita 4,"Roman, M.A. (2010). Análisis proximal de la semilla del fruto del copao, rumpa (Eulychniaacida) y caracterización de su aceite. Tesis U. de Chile, Fac. de Química y Farmacia."
4-3,Cita 1,"Mora, F., Tapia, F., Sapim, C., Nunes, E., Barth, R., Ibacache, A. (2008). Early performance of Oleaeuropaea cv. Arbequina, Picual and Franctoio in the southern Atacama Desert. CROP Breeding and Applied Biotechnology 8:  000-000. Brazilian Society of Plant Breeding"
4-3,Cita 2,"Tapia, F., Mora, F. and Santos, A. (2009). Preliminari evaluation of 29 olive (Oleaeuropaea L) cultivars for production and alternate bearing, in the Huasco Valley, northern Chile. Chilean Journal of Agricultural Research 69(3):325-330."
5-1,Cita 1,"Vega, A., P. Fito, A. Andrés and R. Lemus (2007). Mathematical Modelling of Hot-Air Drying Kinetics of Red Bell Pepper (var. Lamuyo). Journal of Food Engineering, 79(4), 1460-1466. [Disponible en línea] www.elsevier.com    "
5-1,Cita 2,"Vega, A., E. Uribe, R. Lemus and M. Miranda (2007). Hot-air drying characteristics of Aloe vera (Aloe barbadensis Miller) and Influence of Temperature on Kinetics Parameters. LWT. Food Science and Technology, 40(10), 1698-1707. [Disponible en línea] www.elsevier.com"
5-1,Cita 3,"Vega-Gálvez, A., R.  Lemus-Mondaca,  P.  Fito  and  A.  Andrés  (2007).  Moisture  Sorption Isotherms  and  Isosteric  Heat  of  Red  Bell  Pepper  (var.  Lamuyo).  Food Science and Technology Internacional, 13(4), 309-316.   "
5-1,Cita 4,"Vega-Gálvez, A.,  M.  Palacios,  F.  Boglio,  C.  Pássaro,  C.  Jeréz  and  R.  Lemus-Mondaca. (2007).  Osmostic  dehydration  of  the  chilean  papaya  (Vasconellea  pubescens)  and influence  of  temperature  and  solution  concentration  on  the  kinetic  transfer  of  matter. Ciência e Tecnologia de Alimentos, 27(3), 470-477.   "
5-1,Cita 5,"Vega-Gálvez, A., R. Lemus-Mondaca, C. Bilbao-Sainz, P. Fito and A. Andrés (2008). Effect of  Air  Drying  Temperature  on  The  Quality  of  Rehydrated  Dried  Red  Bell  Pepper  (var. Lamuyo). Journal of Food Engineering, 85(1), 42-50.  [Disponible en línea] www.elsevier.com   "
5-1,Cita 6,"Vega-Gálvez, A.,  R.  Lemus-Mondaca,  C.  Bilbao-Sainz,  F.  Yagnam  and  A.  Rojas  (2008). Mass Transfer Kinetics During Convective Drying of Red Pepper var. Hungarian (Capsicum annuum  L.):  Mathematical  Modelling  and  Evaluation  of  Kinetics  Parameters.  Journal of Food Process Engineering, 31(1), 120-137. [Disponible en línea]  www.wiley.com"
5-1,Cita 7,"Lemus, R., Pérez, M., Andrés, A., Roco, T., Tello, C.M. and Vega, A. (2008). Kinetics Study of Dehydration and Desorption Isotherms of Red Alga Gracilaria. LWT. Food Science and Technology, 41(9), 1592-1599. [Disponible en línea]   www.elsevier.com   "
5-1,Cita 8,"Vega-Gálvez, A., Palacios, M., Lemus-Mondaca,  R. and  Passaro, S. (2008).  Moisture Sorption  Isotherms  and  Isosteric  Heat  Determination  in  Chilean  Papaya  (Vasconcellea pubescens). Quimica Nova, 31(6), 1417-1421. [Disponible en línea]   www.scielo.org"
5-1,Cita 9,"Vega-Gálvez, A., Miranda, M., Bilbao-Sainz, C., Uribe, R.E. and  Lemus-Mondaca, R.  (2008). Empirical Modelling of  Drying  Process  for  Apple  (cv.  Granny Smith) Slices at  Different air Temperature. Journal of Food Processing and Preservation, 32, 972-986. [Disponible en línea]  www.wiley.com"
5-1,Cita 10,"Vega-Gálvez, A.,  Ayala-Aponte, A.,  Notte, E.,  de  la  Fuente, L. and  Lemus-Mondaca, R.  (2008).  Mathematical  Modeling  of  Mass  Transfer  During  Convective Dehydration of Brown Alga Macrocystis pyrifera. Drying Technology, 26, 1610-1616.  [Disponible en línea] www.tandf.co.uk "
5-1,Cita 11,"Uribe, E.,  Miranda, M.,  Lemus, R.,  and  Vega-Gálvez, A.  (2008).  Moisture Adsorption  and Desorption Isotherms of Aloe vera (Aloe Barbadensis Miller) and Determination of Sorption Heats. International Journal of Food Engineering, 4(4), art. 12. [Disponible en línea] www.bepress.com/ijfe "
5-1,Cita 12,"Miranda, M., Maureira, H., Rodríguez, K. and  Vega-Gálvez, A.  (2009). Influence of temperature on the drying kinetics, physicochemical properties, and antioxidant capacity  of  aloe  vera  (Aloe  barbadensis  miller)  gel.  Journal of  Food  Engineering, 91(1), 297-304. [Disponible en línea] www.elsevier.com     "
5-1,Cita 13,"Vega-Gálvez, A., Lemus-Mondaca, R.,  Tello-Ireland, C.,  Miranda, M and  Yagnam, F.  (2009). Kinetic  study  of  convective  drying  of  blueberry  variety  O’Neil  (Vaccinium  corymbosum). Chilean Journal of Agricultural Research, 69(2), 171-178. [Disponible en línea]  www.scielo.org "
5-1,Cita 14,"Lemus-Mondaca, R., Betoret, N., Vega-Gálvez, A., and Lara-Aravena, E. (2009). Dehydration characteristics of papaya (Carica pubenscens): determination of equilibrium moisture content and diffusion coefficient. Journal of Food Process Engineering. 32(5), 645-663. [Disponible en línea] www.wiley.com"
5-1,Cita 15,"Lemus-Mondaca,  R.,  Miranda,  M., Ándres,  A.,  Briones, V., Villalobos, R. and  Vega-Gálvez, A. (2009). Effect  of  osmotic  pretreatment  on  hot-air  drying  kinetics  and  quality  of  Chilean  papaya (Carica pubescens). Drying Technology. 27(10), 1105-1115. [Disponible en línea] www.tandf.co.uk"
